PARL10,PARL25,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
E14000602,UKPARL.2025.BSE,5028360.7,17240025.78,0.29,0.24,33885.41,142935.0,541
E14000603,UKPARL.2025.BAF,719481309.21,763963154.47,0.94,0.93,92807.65,99761.03,1040
E14000603,UKPARL.2025.NNF,38860020.72,763963154.47,0.05,0.02,1605.38,99761.03,142
E14000604,UKPARL.2025.BBH,12577359.15,29404142.29,0.43,0.53,51610.0,96541.0,641
E14000604,UKPARL.2025.EAC,12875904.61,29404142.29,0.44,0.28,27076.0,96541.0,650
E14000604,UKPARL.2025.ORP,3944337.71,29404142.29,0.13,0.18,17855.0,96541.0,348
E14000605,UKPARL.2025.BRG,216910058.16,216970634.7,1.0,1.0,99881.0,99881.0,1237
E14000606,UKPARL.2025.BXB,51433030.58,66872827.59,0.77,0.95,97279.0,102624.0,867
E14000606,UKPARL.2025.HMR,15422247.08,66872827.59,0.23,0.05,5345.0,102624.0,476
E14000607,UKPARL.2025.BXT,46397915.83,65789658.95,0.71,0.83,82011.57,98756.0,813
E14000607,UKPARL.2025.NGN,19368049.05,65789658.95,0.29,0.17,16744.43,98756.0,544
E14000608,UKPARL.2025.AYS,149601564.78,866978547.99,0.17,0.22,24235.79,108134.0,416
E14000608,UKPARL.2025.BUC,374735263.73,866978547.99,0.43,0.41,44120.84,108134.0,646
E14000608,UKPARL.2025.MBU,342521891.36,866978547.99,0.4,0.37,39777.38,108134.0,621
E14000609,UKPARL.2025.BUR,110662491.84,110682726.37,1.0,1.0,88920.0,88920.0,1258
E14000610,UKPARL.2025.BAU,243271369.44,243377945.0,1.0,1.0,108508.0,108508.0,1201
E14000611,UKPARL.2025.BUN,50987772.15,51014525.11,1.0,1.0,90408.09,90408.09,1188
E14000612,UKPARL.2025.BUN,7078896.63,48445470.25,0.15,0.1,10507.71,100581.91,371
E14000612,UKPARL.2025.BUS,41351522.0,48445470.25,0.85,0.9,90074.2,100581.91,928
